"","RRcode","City","province_code","Start_date","tenure_days_","tenure_bracket","cost_center","tran_month","production","depletion","nag"
"1","YUUI","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-09-01,0,0,0
"2","YUUI","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-10-03,0,0,0
"3","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-08-01,225701.64,0,225701.64
"4","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-09-01,12853.67,0,12853.67
"5","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-10-03,315339.66,0,315339.66
"6","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-11-01,251856.07,0,251856.07
"7","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-12-01,331352.36,0,331352.36
"8","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-01-03,625187.93,37.8,625225.74
"9","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-02-01,585069.35,-26847.9,558221.45
"10","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-03-01,1020753.38,109.38,1020862.76
"11","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-04-02,427256.73,-3571.48,423685.25
"12","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-05-01,246400.23,-6215.5,240184.73
"13","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-06-01,234098.5,-46731.78,187366.72
"14","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-07-02,616859.72,0,616859.72
"15","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-08-01,213399.4,-617.2,212782.21
"16","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-09-04,502692.6,17.67,502710.26
"17","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-10-01,1189539.44,-251693.12,937846.33
"18","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-11-01,238564.18,-602.4,237961.78
"19","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-12-03,62426.14,-62589.13,-162.99
"20","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2013-01-02,1163287.52,-7614.49,1155673.03
"21","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2013-02-01,802974.68,-119288.52,683686.17
"22","YVTV","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2013-03-01,391601.91,-11980.99,379620.91
